"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1991",27.7218154779186,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1992",26.1995909743581,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1993",26.169094098981,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1994",25.4561344070509,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1995",25.3402262814921,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1996",27.2591040290769,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1997",28.8029131796296,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1998",26.590476609471,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1999",27.918282977739,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2000",26.3546243250795,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2001",24.4603615705288,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2002",25.1161855318525,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2003",25.8117113804711,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2004",28.5666444410253,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2005",27.0612678786849,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2006",26.9251671242306,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2007",24.0976155214718,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2008",23.3010625311296,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2009",23.4324233283259,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2010",25.3004857895539,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2011",23.2827702747972,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2012",22.4272426868263,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2013",23.7283312014827,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2014",22.5623087650667,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2015",19.6992156542418,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2016",22.0510261838141,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2017",20.9393685421384,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2018",20.4833254596177,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2019",20.1977784434989,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2020",20.2274657594685,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2021",20.1303356450519,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2022",19.9513946757099,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2023",19.8268328772445,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2024",19.6692838597189,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2025",19.5406445836845,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2026",19.4012666179881,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1991",14.3964762598799,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1992",15.1292467203512,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1993",14.8706765266911,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1994",15.5966906071944,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1995",15.5047171324105,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1996",14.4595201825056,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1997",14.7153330040867,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1998",15.1659320798485,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1999",15.0694735328876,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2000",15.2064536327073,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2001",15.2075906210269,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2002",15.9630117290399,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2003",17.4145578428047,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2004",17.7025989334754,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2005",18.6201897043752,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2006",17.9589995616859,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2007",19.6800699229389,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2008",19.2820737023094,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2009",19.8693227729576,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2010",20.1572013805256,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2011",19.6201728664656,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2012",20.5293338082066,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2013",19.9870804231888,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2014",19.9871331979503,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2015",21.736934480255,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2016",20.4955304652877,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2017",20.6663981381898,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2018",20.6483087416526,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2019",20.6725333424887,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2020",20.7237889821808,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2021",20.7731046595717,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2022",20.7951469523552,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2023",20.8458252577847,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2024",20.881856608946,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2025",20.9332448603077,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2026",20.9951503255638,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","1990",21.7675783756663,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","1991",22.056736165646,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","1992",22.0721180665018,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","1993",23.2513771840436,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","1994",23.9933058269325,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","1995",23.5784978740144,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","1996",24.0235582114973,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","1997",25.2469211075845,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","1998",27.1706999236471,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","1999",27.4507813454279,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2000",29.1924923111127,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2001",28.7735459721977,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2002",31.9491876721711,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2003",30.8674012252692,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2004",32.315503555257,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2005",33.5805832575477,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2006",35.0500645206876,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2007",34.6704840016535,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2008",33.2014174945583,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2009",33.5478125013034,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2010",37.6306664596537,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2011",39.4917752962188,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2012",40.3056216608562,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2013",40.1344757478632,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2014",40.8019174956872,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2015",41.2326136279598,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2016",43.58735929876,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2017",44.4678357462774,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2018",45.1458924592961,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2019",45.5329415212661,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2020",45.7468517415389,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2021",45.8170245228694,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2022",45.9749852692064,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2023",46.0737515445666,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2024",46.2081695693071,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2025",46.3064188171761,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2026",46.3379156239055,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","1990",18.8617762791538,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","1991",19.2623854799814,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","1992",17.8215938571774,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","1993",17.3567573636176,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","1994",18.36657075326,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","1995",15.0054552243366,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","1996",14.6911265391951,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","1997",14.9601957593084,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","1998",15.3753393687108,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","1999",15.1543611469569,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2000",16.2687688577284,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2001",14.8889635483646,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2002",13.6993296240491,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2003",12.0844804099466,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2004",11.9209520531886,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2005",11.9354691286626,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2006",12.3222789808984,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2007",12.5508735243397,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2008",10.9723322610189,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2009",10.3241440077094,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2010",8.96986144787034,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2011",8.04446178317268,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2012",8.72010501467677,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2013",8.71690116458266,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2014",8.107499585507,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2015",9.33154287415808,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2016",8.55036538777498,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2017",8.53792953822503,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2018",8.72152694508446,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2019",8.70367891742115,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2020",8.67055981573212,
